"index","citations","year","Abstract"
"318","3","1990","We describe a closed-form technique for mapping the output of a trained backpropagation network int. o input activity space. The mapping is an inverse mapping in the sense that, when the image of the mapping in input activity space is propagat. ed forward through the normal network dynamics, it reproduces the output used to generate that image. When more than one such inverse mappings exist, our inverse ma. pping is special in that it has no projection onto the nullspace of the activation flow operator for the entire network. An\xc2\xa0\xe2\x80\xa6'"
"319","96","1990","This work extends computational learning theory to situations in which concepts vary over time, eg, system identification of a time-varying plant. We have extended formal definitions of concepts and learning to provide a framework in which an algorithm can track a concept as it\xc2\xa0\xe2\x80\xa6'"
"320","44","1990","A particular form of neural network is described, which has terminals for acoustic patterns, class labels and speaker parameters. A method of training this network to"" tune in"" the speaker parameters to a particular speaker is outlined, based on a trick for converting a supervised network to an unsupervised mode. We describe experiments using this approach in isolated word recognition based on whole-word hidden Markov models. The results indicate an improvement over speaker-independent performance and, for unlabelled\xc2\xa0\xe2\x80\xa6'"
"321","5","1990","A feedforward layered network implements a mapping required to control an unknown stochastic nonlinear dynamical system. Training is based on a novel approach that combines stochastic approximation ideas with backpropagation. The method is applied to control admission into a queueing system operating in a time-varying environment.'"
"322","7","1990","A three-layered neural network model was used to explore the organization of the vestibulo-ocular reflex (VOR). The dynamic model was trained using recurrent back-propagation to produce compensatory, long duration eye muscle motoneuron outputs in response to short duration vestibular afferent head velocity inputs. The network learned to produce this response prolongation, known as velocity storage, by developing complex, lateral inhibitory interactions among the interneurons. These had the low baseline, long time constant\xc2\xa0\xe2\x80\xa6'"
"323","0","1990","We introduce a method for the efficient design of a Boltzmann machine (or a Hopfield net) that computes an arbitrary given Boolean function f. This method is based on an efficient simulation of acyclic circuits with threshold gates by Boltzmann machines. As a consequence we can show that various concrete Boolean functions f that are relevant for classification problems can be computed by scalable Boltzmann machines that are guaranteed to converge to their global maximum configuration with high probability after\xc2\xa0\xe2\x80\xa6'"
"324","1","1990","In salamander retina, the response of On-Off ganglion cells to a central flash is reduced by movement in the receptive field surround. Through computer simulation of a 2-D model which takes into account their anatomical and physiological properties, we show that interactions between four neuron types (two bipolar and two amacrine) may be responsible for the generation and lateral conductance of this change sensitive inhibition. The model shows that the four neuron circuit can account for previously observed movement sensitive\xc2\xa0\xe2\x80\xa6'"
"325","44","1990","We propose a new parallel-hierarchical neural network model to enable motor learning for simultaneous control of both trajectory and force. by integrating Hogan's control method and our previous neural network control model using a feedback-error-learning scheme. Furthermore. two hierarchical control laws which apply to the model, are derived by using the Moore-Penrose pseudoinverse matrix. One is related to the minimum muscle-tension-change trajectory and the other is related to the minimum motor-command-change\xc2\xa0\xe2\x80\xa6"""
"326","1","1990","The goal has been to construct a supervised artificial neural network that learns incrementally an unknown mapping. As a result a network consisting of a combination of ART2 and backpropagation is proposed and is called an"" ART2/BP"" network. The ART2 network is used to build and focus a supervised backpropagation network. The ART2/BP network has the advantage of being able to dynamically expand itself in response to input patterns containing new information. Simulation results show that the ART2/BP network\xc2\xa0\xe2\x80\xa6'"
"327","11","1990","We are focusing on the development of a highly compact neural net weight function based on the use of EEPROM devices. These devices have already proven useful for analog weight storage, but existing designs rely on the use of conventional voltage multiplication as the weight function, requiring additional transistors per synapse. A parasitic capacitance between the floating gate and the drain of the EEPROM structure leads to an unusual JV characteristic which can be used to advantage in designing a compact synapse. This novel\xc2\xa0\xe2\x80\xa6'"
"328","7","1990","The problem of color clustering is defined and shown to be a problem of assigning a large number (hundreds of thousands) of 3-vectors to a small number (256) of clusters. Finding those clusters in such a way that they best represent a full color image using only 256 distinct colors is a burdensome computational problem. In this paper, the problem is solved using"" classical"" techniques--k-means clustering, vector quantization (which turns out to be the same thing in this application), competitive learning, and Kohonen self-organizing\xc2\xa0\xe2\x80\xa6'"
"329","26","1990","Analog neural networks with feedback can be used to implement l (-Winner-Take-All (KWTA) networks. In turn, KWTA networks can be used as decoders of a class of nonlinear error-correcting codes. By interconnecting such KWTA networks, we can construct decoders capable of decoding more powerful codes. We consider several families of interconnected KWTA networks, analyze their performance in terms of coding theory metrics, and consider the feasibility of embedding such networks in VLSI technologies.'"
"330","66","1990","We examine the ability of radial basis functions (RBFs) to generalize. We compare the performance of several types of RBFs. We use the inverse dynamics of an idealized two-joint arm as a test case. We find that without a proper choice of a norm for the inputs, RBFs have poor generalization properties. A simple global scaling of the input variables greatly improves performance. We suggest some efficient methods to approximate this distance metric.'"
"331","13","1990","We study the evolution of the generalization ability of a simple linear perceptron with N inputs which learns to imitate a"" teacher perceptron"". The system is trained on p= aN binary example inputs and the generalization ability measured by testing for agreement with the teacher on all 2N possible binary input patterns. The dynamics may be solved analytically and exhibits a phase transition from imperfect to perfect generalization at a= 1. Except at this point the generalization ability approaches its asymptotic value exponentially, with critical\xc2\xa0\xe2\x80\xa6'"
"332","18","1990","Spherical Units can be used to construct dynamic reconfigurable consequential regions, the geometric bases for Shepard's (1987) theory of stimulus generalization in animals and humans. We derive from Shepard's (1987) generalization theory a particular multi-layer network with dynamic (centers and radii) spherical regions which possesses a specific mass function (Cauchy). This learning model generalizes the configural-cue network model (Gluck & Bower 1988):(1) configural cues can be learned and do not require pre-wiring the power\xc2\xa0\xe2\x80\xa6"""
"333","32","1990","In supervised learning one has a system under study that responds to a set of simultaneous input \nsignals {Xl\'"" xn }. The response is characterized by a set of output signals {Y1, Y2,""\', Ym}. The \ngoal is to learn the relationship between the inputs and the outputs. This exercise generally has\xc2\xa0\xe2\x80\xa6'"
"334","47","1990","In this paper, after some introductory remarks into the classification problem as considered in various research communities, and some discussions concerning some of the reasons for ascertaining the performances of the three chosen algorithms, viz., CART (Classification and Regression Tree), C4. 5 (one of the more recent versions of a popular induction tree technique known as ID3), and a multi-layer perceptron (MLP), it is proposed to compare the performances of these algorithms under two criteria: classification and generalisation. It is\xc2\xa0\xe2\x80\xa6'"
"335","87","1990","The learning time of a simple neural network model is obtained through an analytic computation of the eigenvalue spectrum for the Hessian matrix, which describes the second order properties of the cost function in the space of coupling coefficients. The form of the eigenvalue distribution suggests new techniques for accelerating the learning process, and provides a theoretical justification for the choice of centered versus biased state variables.'"
"336","6","1990","This srudy has demonstrated how artificial neural networks (ANNs) can be used to characterize seismic sources using high-frequency regional seismic data. We have taken the novel approach of using ANNs as a research tool for obtaining seismic source information, specifically depth of focus for earthquakes and ripple-fire characteristics for economic blasts, rather than as just a feature classifier between earthquake and explosion populations. Overall, we have found that ANNs have potential applications to seismic event\xc2\xa0\xe2\x80\xa6'"
"337","47","1990","The ALVINN (Autonomous Land Vehicle In a Neural Network) project addresses the problem of training artificial neural networks in real time to perform difficult perception tasks. ALVINN, is a back-propagation network that uses inputs from a video camera and an imaging laser rangefinder to drive the CMU Navlab, a modified Chevy van. This paper describes training techniques which allow ALVINN to learn in under 5 minutes to autonomously control the Navlab by watching a human driver's response to new situations\xc2\xa0\xe2\x80\xa6"""
"338","55","1990","The Hopfield network (Hopfield, 1982, 1984) provides a simple model of an associative memory in a neuronal structure. This model, however, is based on highly artificial assumptions, especially the use of formal-two state neurons (Hopfield, 1982) or graded-response neurons (Hopfield, 1984).\\Vhat happens if we replace the formal neurons by'real'biological neurons?\\Ve address this question in two steps. First, we show that a simple model of a neuron can capture all relevant features of neuron spiking, ie, a wide\xc2\xa0\xe2\x80\xa6"""
"339","9","1990","In response to a puff of wind, the American cockroach turns away and runs. The circuit underlying the initial turn of this escape response consists of three populations of individually identifiable nerve cells and appears to employ distributed representations in its operation. We have reconstructed several neuronal and behavioral properties of this system using simplified neural network models and the backpropagation learning algorithm constrained by known structural characteristics of the circuitry. In order to test and refine the\xc2\xa0\xe2\x80\xa6'"
"340","17","1990","A system for color correction has been designed, built, and tested successfully; the essential components are three custom chips built using subthreshold analog CMOS VLSI. The system, based on Land's Retinex theory of color constancy, produces colors similar in many respects to those produced by the visual system. Resistive grids implemented in analog VLSI perform the smoothing operation central to the algorithm at video rates. With the electronic system, the strengths and weaknesses of the algorithm are explored."""
"341","0","1990","Exact structure from motion is an ill-posed computation and therefore very sensitive to noise. In this work I describe how a qualitative shape representation, based on the sign of the Gaussian curvature, can be computed directly from motion disparities, without the\xc2\xa0\xe2\x80\xa6'"
"342","9","1990","Given some training data how should we choose a particular network classifier from a family of networks of different complexities? In this paper we discuss how the application of stochastic complexity theory to classifier design problems can provide some insights into this problem. In particular we introduce the notion of admissible models whereby the complexity of models under consideration is affected by (among other factors) the class entropy, the amount of training data, and our prior belief. In particular we discuss the implications of\xc2\xa0\xe2\x80\xa6'"
"343","17","1990","This paper examines a class of neuron based learning systems for dynamic control that rely on adaptive range coding of sensor inputs. Sensors are assumed to provide binary coded range vectors that coarsely describe the system state. These vectors are input to neuron-like\xc2\xa0\xe2\x80\xa6'"
"344","104","1990","We introduce a framework for training architectures composed of several modules. This framework, which uses a statistical formulation of learning systems, provides a unique formalism for describing many classical connectionist algorithms as well as complex systems where several algorithms interact. It allows to design hybrid systems which combine the advantages of connectionist algorithms as well as other learning algorithms.'"
"345","34","1990","Multi-layer perceptrons are often slow to learn nonlinear functions with complex local structure due to the global nature of their function approximations. It is shown that standard multi-layer perceptrons are actually a special case of a more general network formulation that incorporates B-splines into the node computations. This allows novel spline network architectures to be developed that can combine the generalization capabilities and scaling properties of global multi-layer feedforward networks with the computational efficiency and\xc2\xa0\xe2\x80\xa6'"
"346","26","1990","Multi-layered neural networks have recently been proposed for nonlinear prediction and system modeling. Although proven successful for modeling time invariant nonlinear systems, the inability of neural networks to characterize temporal variability has so far been an obstacle in applying them to complicated non stationary signals, such as speech. In this paper we present a network architecture, called"" Hidden Control Neural Network""(HCNN), for modeling signals generated by nonlinear dynamical systems with restricted time\xc2\xa0\xe2\x80\xa6'"
"347","8","1990","A second-order architecture is presented here for translation, rotation and scale invariant processing of 2-D images mapped to n input units. This new architecture has a complexity of O (n) weights as opposed to the O (n3) weights usually required for a third-order, rotation invariant architecture. The reduction in complexity is due to the use of discrete frequency information. Simulations show favorable comparisons to other neural network architectures.'"
"348","5","1990","Although color TV is an established technology, there are a number of longstanding problems for which neural networks may be suited. Impulse noise is such a problem, and a modular neural network approach is presented in this paper. The training and analysis was done on conventional computers, while real-time simulations were performed on a massively parallel computer called the Princeton Engine. The network approach was compared to a conventional alternative, a median filter. Real-time simulations and\xc2\xa0\xe2\x80\xa6'"
"349","9","1990","Ab. tract The model-bued neural vision Iystem presented here determines the p~ aition and identity of three-dimensional objects. Two ltereo imagee of a IC8ne are described in terms of Ihape primitives (line segments derived from edges in the lcenel) and their relational structure. A recurrent neural matching network solves the correlpondence problem by 888igning corre-Iponding line segments in right and left ltereo images. A 3-D relational IC8ne description it then generated and matched by a second neural network against\xc2\xa0\xe2\x80\xa6'"
"350","62","1990","Learning an input-output mapping from a set of examples can be regarded as synthesizing an approximation of a multi-dimensional function. From this point of view, this form of learning is closely related to regularization theory, and we have previously shown (Poggio\xc2\xa0\xe2\x80\xa6'"
"351","172","1990","We present and compare learning rate schedules for stochastic gradient descent, a general algorithm which includes LMS, on-line backpropagation and k-means clustering as special cases. We introduce"" search-thenconverge"" type schedules which outperform the classical constant and"" running average""(1ft) schedules both in speed of convergence and quality of solution.'"
"352","4","1990","A higher order recurrent neural network architecture learns to recognize and generate languages after being"" trained"" on categorized exemplars. Studying these networks from the perspective of dynamical systems yields two interesting discoveries: First, a longitudinal examination of the learning process illustrates a new form of mechanical inference: Induction by phase transition. A small weight adjustment causes a"" bifurcation"" in the limit behavior of the network. This phase transition corresponds to the onset of the network\'s\xc2\xa0\xe2\x80\xa6'"
"353","27","1990","In this paper we show that discrete affine wavelet transforms can provide a tool for the analysis and synthesis of standard feedforward neural networks. It is shown that wavelet frames for L2 (IR) can be constructed based upon sigmoids. The spatia-spectral localization property of wavelets can be exploited in defining the topology and determining the weights of a feedforward network. Training a network constructed using the synthesis procedure described here involves minimization of a convex cost functional and therefore avoids\xc2\xa0\xe2\x80\xa6'"
"354","78","1990","The outputs of a typical multi-output classification network do not satisfy the axioms of probability; probabilities should be positive and sum to one. This problem can be solved by treating the trained network as a preprocessor that produces a feature vector that can be further processed, for instance by classical statistical estimation techniques.(2) We present a method for computing the first two moments ofthe probability distribution indicating the range of outputs that are consistent with the input and the training data. It is particularly useful to\xc2\xa0\xe2\x80\xa6'"
"355","5","1990","Robustness is a commonly bruited property of neural networks; in particular, a folk theorem in neural computation asserts that neural networks-in contexts with large interconnectivity-continue to function efficiently, albeit with some degradation, in the presence of component damage or loss. A second folk theorem in such contexts asserts that dense interconnectivity between neural elements is a sine qua non for the efficient usage of resources. These premises are formally examined in this communication in a setting that invokes the notion of\xc2\xa0\xe2\x80\xa6'"
"356","159","1990","Three\xe2\x80\x90dimensional structures of protein backbones have been predicted using neural networks. A feed forward neural network was trained on a class of functionally, but not structurally, homologous proteins, using backpropagation learning. The network generated tertiary structure information in the form of binary distance constraints for the C \xce\xb1 atoms in the protein backbone. The binary distance between two C \xce\xb1 atoms was 0 if the distance between them was less than a certain threshold distance, and 1 otherwise. The distance\xc2\xa0\xe2\x80\xa6'"
"357","30","1990","Feature selective cells in the primary visual cortex of several species are organized in hierarchical topographic maps of stimulus features like"" position in visual space"","" orientation"" and"" ocular dominance"". In order to understand and describe their spatial structure and their development, we investigate a self-organizing neural network model based on the feature map algorithm. The model explains map formation as a dimension-reducing mapping from a high-dimensional feature space onto a two-dimensional lattice\xc2\xa0\xe2\x80\xa6'"
"358","10","1990","A neural network architecture was designed for locating word boundaries and identifying words from phoneme sequences. This architecture was tested in three sets of studies. First, a highly redundant corpus with a restricted vocabulary was generated and the network was trained with a limited number of phonemic variations for the words in the corpus. Tests of network performance on a transfer set yielded a very low error rate. In a second study, a network was trained to identify words from expert transcriptions of speech. On a transfer test\xc2\xa0\xe2\x80\xa6'"
"359","6","1990","The Neural Prediction Model is the speech recognition model based on pattern prediction by multilayer perceptrons. Its effectiveness was confirmed by the speaker-independent digit recognition experiments. This paper presents an improvement in the model and its application to large vocabulary speech recognition, based on subword units. The improvement involves an introduction of"" backward prediction,"" which further improves the prediction accuracy of the original model with only"" forward prediction"". In application of\xc2\xa0\xe2\x80\xa6'"
"360","3","1990","This paper is a summary of SPRINT project aims and results. The project focus on the use of neuro-computing techniques to tackle various problems that remain unsolved in speech recognition. First results concern the use of feedforward nets for phonetic units classification, isolated word recognition, and speaker adaptation.'"
"361","60","1990","We describe in this paper a network that performs grouping of image contours. The input to the net are fragments of image contours, and the output is the partitioning of the fragments into groups, together with a saliency measure for each group. The grouping is based on a measure of overall length and curvature. The network decomposes the overall optimization problem into independent optimal pairing problems performed at each node. The resulting computation maps into a uniform locally connected network of simple computing elements.'"
"362","42","1990","The Adaptive Solutions CN APS architecture chip is a general purpose neurocomputer chip. It has 64 processors, each with 4 K bytes of local memory, running at 25 megahertz. It is capable of implementing most current neural network algorithms with on chip learning. This paper discusses the implementation of the Back Propagation algorithm on an array of these chips and shows performance figures from a clock accurate hardware simulator. An eight chip configuration on one board can update 2.3 billion connections per\xc2\xa0\xe2\x80\xa6'"
"363","435","1990","The dimens~ onali~ y of a set Off 160 1:~: a:~ s~~\xc2\xb7. 10. female subjects IS reduced rom......... network The extracted features do not correspond to in previ~ us face recognition systems (Ka R\xc2\xb7 na~ e, 19~;) y'......\xe2\x80\xa2\xe2\x80\xa2.\xe2\x80\xa2.. d'tances between facial elements. at. er,........\\f~ tures we call holons. The hol. ons are fV~~ t~!. propagation networks th. at are teamed toc~:~~~. y identity. feigned emouonal state. and gf..... extracted holons provide a. suf~ cient basIS or discriminations, 99% of the Idenuty.'. t emotion discriminations~ mong the traml: S~~ d..'ud\xc2\xa0\xe2\x80\xa6"""
"364","59","1990","This is a summary of results with Dyna, a class of architectures for intelligent systems based on approximating dynamic programming methods. Dyna architectures integrate trial-and-error (reinforcement) learning and execution-time planning into a single process operating alternately on the world and on a learned forward model of the world. We describe and show results for two Dyna architectures, Dyna-AHC and Dyna-Q. Using a navigation task, results are shown for a simple Dyna-AHC system which simultaneously learns by trial and error\xc2\xa0\xe2\x80\xa6'"
"365","48","1990","Feedback connections are required so that the teacher signal on the output neurons can modify weights during supervised learning. Relaxation methods are needed for learning static patterns with full-time feedback connections. Feedback network learning techniques have not achieved wide popularity because of the still greater computational efficiency of back-propagation. We show by simulation that relaxation networks of the kind we are implementing in VLSI are capable of learning large problems just like back-propagation\xc2\xa0\xe2\x80\xa6'"
"366","28","1990","Barto, Sutton and Watkins [2] introduced a grid task as a didactic example of temporal difference planning and asynchronous dynamical pre>-gramming. This paper considers the effects of changing the coding of the input stimulus, and demonstrates that the self-supervised learning of a particular form of hidden unit representation improves performance.'"
"367","10","1990","For lack of alternative models, search and decision processes have provided the dominant paradigm for human memory access using two or more cues, despite evidence against search as an access process (Humphreys, Wiles & Bain, 1990). We present an alternative process to search, based on calculating the intersection of sets of targets activated by two or more cues. Two methods of computing the intersection are presented, one using information about the possible targets, the other constraining the cue-target strengths in the memory\xc2\xa0\xe2\x80\xa6'"
"368","4","1990","This paper presents a neural network (NN) approach to the problem of stereopsis. The correspondence problem (finding the correct matches between the pixels of the epipolar lines of the stereo pair from amongst all the possible matches) is posed as a non-iterative many-to-one mapping. A two-layer feed forward NN architecture is developed to learn and code this nonlinear and complex mapping using the back-propagation learning rule and a training set. The important aspect of this technique is that none of the typical constraints such\xc2\xa0\xe2\x80\xa6'"
"369","2","1990","We apply the theory of Tishby, Levin, and Sol1a (TLS) to two problems. First we analyze an elementary problem for which we find the predictions consistent with conventional statistical results. Second we numerically examine the more realistic problem of training a competitive net to learn a probability density from samples. We find TLS useful for predicting average training behavior..'"
"370","16","1990","Local variable selection has proven to be a powerful technique for approximating functions in high-dimensional spaces. It is used in several statistical methods, including CART, ID3, C4, MARS, and others (see the bibliography for references to these algorithms). In this paper I present a tree-structured network which is a generalization of these techniques. The network provides a framework for understanding the behavior of such algorithms and for modifying them to suit particular applications.'"
"371","257","1990","Combining neuropharmacological experiments with computational modeling, we have shown that cholinergic modulation may enhance associative memory function in piriform (olfactory) cortex. We have shown that the acetylcholine analogue carbachol selectively suppresses synaptic transmission between cells within piriform cortex, while leaving input connections unaffected. When tested in a computational model of piriform cortex, this selective suppression, applied during learning, enhances associative memory performance.'"
"372","191","1990","We describe a multi-network, or modular, connectionist architecture that captures that fact that many tasks have structure at a level of granularity intermediate to that assumed by local and global function approximation schemes. The main innovation of the architecture is that it combines associative and competitive learning in order to learn task decompositions. A task decomposition is discovered by forcing the networks comprising the architecture to compete to learn the training patterns. As a result of the competition, different networks learn different\xc2\xa0\xe2\x80\xa6'"
"373","123","1990","This work addresses three problems with reinforcement learning and adaptive neuro-control: 1. Non-Markovian interfaces between learner and environment. 2. On-line learning based on system realization. 3. Vectorvalued adaptive critics. An algorithm is described which is based on system realization and on two interacting fully recurrent continually running networks which may learn in parallel. Problems with parallel learning are attacked by'adaptive randomness'. It is also described how interacting model/controller systems can\xc2\xa0\xe2\x80\xa6"""
"374","307","1990","Recurrent Cascade-Correlation CRCC) is a recurrent version of the Cascade-Correlation learning architecture of Fah I man and Lebiere [Fahlman, 1990]. RCC can learn from examples to map a sequence of inputs into a desired sequence of outputs. New hidden units with recurrent connections are added to the network as needed during training. In effect, the network builds up a finite-state machine tailored specifically for the current problem. RCC retains the advantages of Cascade-Correlation: fast learning, good\xc2\xa0\xe2\x80\xa6'"
"375","0","1990","We present a generic neural network architecture capable of controlling non-linear plants. The network is composed of dynamic. parallel, linear maps gated by non-linear switches. Using a recurrent form of the back-propagation algorithm, control is achieved by optimizing the control gains and task-adapted switch parameters. A mean quadratic cost function computed across a nominal plant trajectory is minimized along with performance constraint penalties. The approach is demonstrated for a control task consisting of landing a\xc2\xa0\xe2\x80\xa6'"
"376","15","1990","A novel learning control architecture is used for navigation. A sophisticated test-bed is used to simulate a cylindrical robot with a sonar belt in a planar environment. The task is short-range homing in the presence of obstacles. The robot receives no global information and assumes no comprehensive world model. Instead the robot receives only sensory information which is inherently limited. A connectionist architecture is presented which incorporates a large amount of a priori knowledge in the form of hard-wired networks\xc2\xa0\xe2\x80\xa6'"
"377","3","1990","Spoken language is one of the most natural, efficient, flexible, and economical means of communication among humans. As computers play an ever increasing role in our lives, it is important that we address the issue of providing a graceful human-machine interface through spoken language. In this paper, we will describe our recent efforts in moving beyond the scope of speech recognition into the realm of spoken-language understanding. Specifically, we report on the development of an urban navigation and exploration system\xc2\xa0\xe2\x80\xa6'"
"378","45","1990","A master-equation approach to the stochastic neurodynamics proposed by Cowan [in Advances in Neural Information Processing Systems 3, edited by RP Lippman, JE Moody, and DS Touretzky (Morgan Kaufmann, San Mateo, 1991), p. 62] is investigated in this paper\xc2\xa0\xe2\x80\xa6'"
"379","67","1990","Inspired by a visual motion detection model for the ra. bbit retina and by a computational architecture used for early audition in the barn owl, we have designed a chip that employs a correlation model to report the one-dimensional field motion of a scene in real time. Using subthreshold analog VLSI techniques, we have fabricated and successfully tested a 8000 transistor chip using a standard MOSIS process.'"
"380","41","1990","Using an unsupervised learning procedure, a network is trained on an ensemble of images of the same two-dimensional object at different positions, orientations and sizes. Each half of the network"" sees"" one fragment of the object, and tries to produce as output a set of 4 parameters that have high mutual information with the 4 parameters output by the other half of the network. Given the ensemble of training patterns, the 4 parameters on which the two halves of the network can agree are the position, orientation, and size of the whole object, or\xc2\xa0\xe2\x80\xa6'"
"381","122","1990","While the network loading problem for 2-layer threshold nets is NP-hard when learning from examples alone (as with backpropagation),(Baum, 91) has now proved that a learner can employ queries to evade the hidden unit credit assignment problem and PAC-load nets with up to four hidden units in polynomial time. Empirical tests show that the method can also learn far more complicated functions such as randomly generated networks with 200 hidden units. The algorithm easily approximates Wieland's 2-spirals function using a single layer of\xc2\xa0\xe2\x80\xa6"""
"382","25","1990","Harmonic grammar (Legendre, et al., 1990) is a connectionist theory of linguistic well-formed ness based on the assumption that the well-formedness of a sentence can be measured by the harmony (negative energy) of the corresponding connectionist state. Assuming a lower-level connectionist network that obeys a few general connectionist principles but is otherwise unspecified, we construct a higher-level network with an equivalent harmony function that captures the most linguistically relevant global aspects of the lower level\xc2\xa0\xe2\x80\xa6'"
"383","132","1990","Through the use of neural network classifiers and careful feature selection, we have achieved high-accuracy speaker-independent spoken letter recognition. For isolated letters, a broad-category segmentation is performed Location of segment boundaries allows us to\xc2\xa0\xe2\x80\xa6'"
"384","34","1990","We present a new connectionist planning method [TML90]. By interaction with an unknown environment, a world model is progressively constructed using gradient descent. For deriving optimal actions with respect to future reinforcement, planning is applied in two steps: an experience network proposes a plan which is subsequently optimized by gradient descent with a chain of world models, so that an optimal reinforcement may be obtained when it is actually run. The appropriateness of this method is demonstrated by a robotics\xc2\xa0\xe2\x80\xa6'"
"385","21","1990","Todd Soukup Department of Electrical and Computer Engineering University of Colorado Boulder, CO 80309-0425 We describe a recurrent connectionist network, called CONCERT, that uses a set of melodies written in a given style to compose new melodies in that style. CONCERT is an extension of a traditional algorithmic composition technique in which transition tables specify the probability of the next note as a function of previous context. A central ingredient of CONCERT is the use of a psychologically-grounded\xc2\xa0\xe2\x80\xa6'"
"386","2","1990","Ve show that a simple spin system bia. sed at its critical point can encode spatial characteristics of external signals, sHch as the dimensions of"" objects"" in the visual field. in the temporal correlation functions of individual spins. Qualit. ative arguments suggest that regularly firing neurons should be described by a planar spin of unit lengt. h. and such XY models exhibit critical dynamics over a broad range of parameters.\\Ve show how to extract these spins from spike trains and then mea\'3ure t. he interaction Hamilt. onian using\xc2\xa0\xe2\x80\xa6'"
"387","1","1990","We present an algorithm based on reinforcement and state recurrence learning techniques to solve control scheduling problems. In particular, we have devised a simple learning scheme called"" handicapped learning"", in which the weights of the associative search element are reinforced, either positively or negatively, such that the system is forced to move towards the desired setpoint in the shortest possible trajectory. To improve the learning rate, a variable reinforcement scheme is employed: negative reinforcement values are varied\xc2\xa0\xe2\x80\xa6'"
"388","20","1990","We have been studying the performance of a bottlenosed dolphin on a delayed matching-to-sample task to gain insight into the processes and mechanisms that the animal uses during echolocation. The dolphin recognizes targets by emitting natural sonar signals and listening to the echoes that return. This paper describes a novel neural network architecture, called an integrator gateway network, that we have developed to account for this performance. The integrator gateway network combines information from multiple echoes to classify targets\xc2\xa0\xe2\x80\xa6'"
"389","1","1990","The neocognitron is a neural network for pattern recognition and feature extraction. An analog CCD parallel processing architecture developed at Lincoln Laboratory is particularly well suited to the computational requirements of shared-weight networks such as the neocognitron, and implementation of the neocognitron using the CCD architecture was simulated. A modification to the neocognitron training procedure, which improves network performance under the limited arithmetic precision that would be imposed by the CCD\xc2\xa0\xe2\x80\xa6'"
"390","26","1990","We consider different types of single-hidden-Iayer feedforward nets: with or without direct input to output connections, and using either threshold or sigmoidal activation functions. The main results show that direct connections in threshold nets double the recognition but not the interpolation power, while using sigmoids rather than thresholds allows (at least) doubling both. Various results are also given on VC dimension and other measures of recognition capabilities.'"
"391","8","1990","An Artificial Neural Network (ANN) is trained to recognize a buy/sell (long/short) pattern for a particular commodity future contract. The Back-Propagation of errors algorithm was used to encode the relationship between the Long/Short desired output and 18 fundamental variables plus 6 (or 18) technical variables into the ANN. Trained on one year of past data the ANN is able to predict long/short market positions for 9 months in the future that would have made $10,301 profit on an investment of less than $1000.'"
"392","11","1990","Fully recurrent (asymmetrical) networks can be thought of as dynamic systems. The dynamics can be shaped to perform content addressable memories, recognize sequences, or generate trajectories. Unfortunately several problems can arise: First, the convergence in the state space is not guaranteed. Second, the learned fixed points or trajectories are not necessarily stable. Finally, there might exist spurious fixed points and/or spurious"" attracting"" trajectories that do not correspond to any patterns. In this paper, we introduce a new energy\xc2\xa0\xe2\x80\xa6'"
"393","37","1990","We develop a. new feedforward neuralnet. work represent. ation of Lipschitz functions from [0, p] n into [0, 1] ba'3ed on the level sets of the function. We show that~~+~\xe2\x82\xac r+(1+ h)(:~) n is an upper bound on the number of nodes needed to represent f to within uniform error Cr, where L is the Lipschitz constant.\\Ve also show that the number of bits needed to represent the weights in the network in order to achieve this approximation is given by o (~ 2;~ r (:~) n)."""
"394","154","1990","Neural network algorithms have proven useful for recognition of individual, segmented characters. However, their recognition accuracy has been limited by the accuracy of the underlying segmentation algorithm. Conventional, rule-based segmentation algorithms encounter difficulty if the characters are touching, broken, or noisy. The problem in these situations is that often one cannot properly segment a character until it is recognized yet one cannot properly recognize a character until it is segmented. We present here a neural\xc2\xa0\xe2\x80\xa6'"
"395","7","1990","We demonstrate a multiscale adaptive network model of motion computation in primate area MT. The model consists of two stages:(l) local velocities are measured across multiple spatio-temporal channels, and (2) the optical flow field is computed by a network of directionselective neurons at multiple spatial resolutions. This model embeds the computational efficiency of Multigrid algorithms within a parallel network as well as adaptively computes the most reliable estimate of the flow field across different spatial\xc2\xa0\xe2\x80\xa6'"
"396","19","1990","We are exploring the significance of biological complexity for neuronal computation. Here we demonstrate that Hebbian synapses in realistically-modeled hippocampal pyramidal cells may give rise to two novel forms of self-organization in response to structured synaptic input. First, on the basis of the electrotonic relationships between synaptic contacts, a cell may become tuned to a small subset of its input space. Second, the same mechanisms may produce clusters of potentiated synapses across the space of the dendrites. The latter type of\xc2\xa0\xe2\x80\xa6'"
"397","4","1990","Light adaptation (LA) allows cone vIslOn to remain functional between twilight and the brightest time of day even though, at anyone time, their intensity-response (IR) characteristic is limited to 3 log units of the stimulating light. One mechanism underlying LA, was localized in the outer segment of an isolated cone (1, 2). We found that by adding annular illhmination, an IR characteristic of a cone can be shifted along the intensity domain. Neural network involving feedback synapse from horizontal cells to cones is involved to be in register with\xc2\xa0\xe2\x80\xa6'"
